"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2479461,"December 11, 2022",California,Clovis,"Minnewawa Ave and W Bullard Ave",0,1,N/A
2478949,"December 10, 2022","New York",Newburgh,"93 Kenny Ct",0,2,N/A
2478579,"December 10, 2022",Alabama,Birmingham,"3700 Block of Brooklyn St",0,1,N/A
2478074,"December 9, 2022",Pennsylvania,York,"409 E. Philadelphia St",0,3,N/A
2477783,"December 8, 2022",Illinois,Waukegan,"500 block of McAlister Ave",0,1,N/A
2478078,"December 8, 2022",Alabama,"Birmingham (Forestdale)","Tower Dr",0,1,N/A
2476451,"December 7, 2022",Wisconsin,Milwaukee,"4834 N 91st St",0,1,N/A
2476535,"December 7, 2022",Texas,"North Richland Hills","6500 block of Jerrell St",0,1,N/A
2475871,"December 4, 2022",Mississippi,"Aberdeen (Lackey)",N/A,0,1,N/A
2473764,"December 3, 2022",Texas,Houston,"4905 Denmark St",0,1,N/A
2474654,"December 3, 2022",California,Eureka,"W Grant St and California St",0,1,N/A
2474036,"December 3, 2022",Florida,Jacksonville,"Moncrief Rd and New Kings Rd",1,2,N/A
2472587,"December 1, 2022",Illinois,Chicago,"100 block of N Latrobe Ave",0,1,N/A
2469722,"November 28, 2022",Tennessee,Memphis,"3100 block of Celt Cove",0,1,N/A
2470178,"November 28, 2022",Texas,Marshall,"2500 E End Blvd S",0,2,N/A
2469950,"November 28, 2022",Texas,"Fort Worth","2800 block of Ave I",0,1,N/A
2469214,"November 27, 2022",Louisiana,"New Orleans","3000 block of Oliver White Ave",0,1,N/A
2469348,"November 27, 2022",Georgia,Atlanta,"2051 Flat Shoals Parkway",1,2,N/A
2469546,"November 26, 2022",Pennsylvania,"Pittston (Exeter Township)","E Neversink Rd",0,1,N/A
2469058,"November 26, 2022","New York",Syracuse,"1316 W Onondaga St",0,1,N/A
2470980,"November 25, 2022",Illinois,Rockford,"1600 block of 5th Ave",0,1,N/A
2468411,"November 25, 2022",Washington,Tacoma,"I-5 and S 38th St",0,1,N/A
2468183,"November 25, 2022",Illinois,"Park Forest","100 block of Hemlock St",0,1,N/A
2467751,"November 24, 2022",Illinois,Peoria,"400 block of E Archer St",0,1,N/A
2467512,"November 23, 2022",Tennessee,Memphis,"4000 block of Westmont Rd",0,2,N/A
2471511,"November 23, 2022",Florida,"Port Saint Lucie","SW Lakehurst Dr and SW Hogan St",0,1,N/A
2467190,"November 23, 2022",Illinois,Belleville,"9000 block of Lebanon Rd",0,1,N/A
2467696,"November 23, 2022",Texas,Richmond,"Cedar Crescent Ct",0,1,N/A
2463132,"November 19, 2022",Missouri,"Saint Louis","3000 block of California Ave",0,1,N/A
2463053,"November 19, 2022","North Carolina",Laurinburg,"700 block of Raleigh St",0,1,N/A
2463351,"November 19, 2022",Arizona,Chandler,"1171 W Goldfinch Way",1,2,N/A
2462892,"November 17, 2022",Delaware,Wilmington,"800 block of N Church St",0,1,N/A
2461065,"November 16, 2022",Indiana,Elkhart,"400 block of E Simonton St",0,1,N/A
2461883,"November 15, 2022",Texas,Houston,"11655 Briar Forest Dr",0,1,N/A
2460771,"November 15, 2022",Texas,Houston,"1919 S Kirkland Rd",0,1,N/A
2459743,"November 14, 2022",Florida,"West Palm Beach","13th St and Tamarind Ave",0,1,N/A
2459435,"November 14, 2022",Maryland,"Glen Burnie","300 block of Lindera Ct",0,1,N/A
2459350,"November 13, 2022",Delaware,Frankford,"30000 block of Gum Rd",0,1,N/A
2460166,"November 11, 2022",Georgia,Albany,"500 block of Swift Ave",0,3,N/A
2458123,"November 11, 2022",Washington,Renton,"Rainier Ave S and S Grady Way",0,1,N/A
2457599,"November 9, 2022",Georgia,"Stone Mountain","Muirforest Dr",0,1,N/A
2456801,"November 8, 2022",Oklahoma,"Oklahoma City","2501 SE 51st St",1,1,N/A
2455163,"November 7, 2022",Mississippi,Corinth,"Proper St",0,1,N/A
2456299,"November 7, 2022",Illinois,Waukegan,"N West St and Washington St",0,1,N/A
2455391,"November 7, 2022","North Carolina","Four Oaks","113 Brookside Ln",0,1,N/A
2454703,"November 5, 2022",Michigan,"Mount Pleasant","2755 S Ivy Ln",1,1,N/A
2453883,"November 5, 2022","New York",Rochester,"100 block of Selye Terrace",0,1,N/A
2453039,"November 4, 2022",Indiana,Indianapolis,"1740 Lafayette Rd",0,2,N/A
2451988,"November 3, 2022",Tennessee,"Cookeville (Algood)",N/A,0,1,N/A
2451335,"November 2, 2022",Alabama,"Mobile (Prichard)","3425 St Stephens Rd",0,1,N/A
2451194,"November 2, 2022",Michigan,Lansing,"5531 Kaynorth Rd",0,1,N/A
2452065,"November 1, 2022","New Jersey",Newark,"E Orange Ave",0,1,N/A
2449421,"October 31, 2022",Georgia,Atlanta,"3144 Reeves Cir NW",0,1,N/A
2449653,"October 31, 2022",Illinois,Chicago,"S California Ave and W Polk St",1,13,N/A
2449897,"October 31, 2022","North Carolina",Kannapolis,"Wikes Dr",0,1,N/A
2449905,"October 31, 2022","North Carolina",Hillsborough,"1414 US-70",0,1,N/A
2448974,"October 30, 2022",Virginia,Chesapeake,"2218 Farmer Ln",0,1,N/A
2448917,"October 30, 2022",Tennessee,Memphis,"600 block of Exchange Ave",1,1,N/A
2450079,"October 30, 2022",Texas,"San Antonio",N/A,0,1,N/A
2448121,"October 29, 2022",Indiana,Indianapolis,"1000 block of Eugene St",0,1,N/A
2450084,"October 29, 2022",Indiana,Muncie,"400 block of N State St",0,1,N/A
2448876,"October 29, 2022",Texas,Beaumont,"4300 block of Fonville Ave",0,2,N/A
2447698,"October 28, 2022",Ohio,Niles,"Maple St and N Chestnut Ave",0,1,N/A
2446777,"October 27, 2022",Indiana,Speedway,"6000 block of Eagleview Ct",0,1,N/A
2447071,"October 27, 2022",Georgia,Atlanta,"1572 Hardee St NE",0,1,N/A
2457298,"October 26, 2022",Virginia,Manassas,"7600 block of Monitor Ct",0,1,N/A
2447056,"October 25, 2022",Florida,Interlachen,"5th Way and Oak Crest Dr",0,1,N/A
2445686,"October 25, 2022",Ohio,Hamilton,"700 block of S 2nd St",2,2,N/A
2444495,"October 24, 2022","District of Columbia",Washington,"1st St NW and Missouri Ave NW",0,3,N/A
2445225,"October 24, 2022",Louisiana,Marrero,"400 block of Avenue L",0,1,N/A
2443503,"October 23, 2022",Georgia,Decatur,"2400 block of Heath Row",0,1,N/A
2443257,"October 22, 2022","North Carolina",Oxford,"100 block of Granville St",0,6,N/A
2443190,"October 22, 2022",Minnesota,Minneapolis,"2200 block of 5th Ave N",0,1,N/A
