"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2479242,"December 12, 2022",Minnesota,Minneapolis,"Fremont Ave N and N 26th Ave",0,1,N/A
2479026,"December 12, 2022",Texas,"San Antonio","2100 block of Texas Ave",0,1,N/A
2479206,"December 12, 2022",Pennsylvania,Philadelphia,"5300 block of Jackson St",1,1,N/A
2479782,"December 12, 2022",Oregon,Portland,"3400 SE 26th Ave",0,1,N/A
2479386,"December 12, 2022",Kentucky,Louisville,"4801 Outer Loop",0,1,N/A
2478963,"December 11, 2022",Texas,Houston,"19800 block of Kenswick Dr",1,1,N/A
2478927,"December 11, 2022",Alabama,Montgomery,"100 block of Madison Ave",0,3,N/A
2479262,"December 11, 2022","North Carolina",Fayetteville,"6400 block of Independence Place Dr",1,1,N/A
2478751,"December 11, 2022",Pennsylvania,Philadelphia,"1800 block of W Diamond St",1,2,N/A
2479031,"December 11, 2022",Texas,"El Paso","9000 block of Curtis Dr",0,1,N/A
2479094,"December 11, 2022",Illinois,Chicago,"E 132nd St and S Langley Ave",0,1,N/A
2479078,"December 11, 2022",Virginia,Richmond,"1300 block of Coalter St",0,1,N/A
2478980,"December 10, 2022",Alabama,Mobile,"1400 block of Garland St",0,1,N/A
2478874,"December 10, 2022",Georgia,Lithonia,"2929 Turner Hill Rd",0,1,N/A
2478636,"December 10, 2022",Minnesota,Minneapolis,"1800 block of E Lake St",0,1,N/A
2478601,"December 10, 2022",Maryland,Baltimore,"900 block of Pine Heights Ave",0,1,N/A
2478237,"December 10, 2022",Ohio,Columbus,"300 block of S Warren Ave",0,1,N/A
2478764,"December 10, 2022","North Carolina","Winston Salem (Winston-salem)","W 26th St",0,1,N/A
2478497,"December 9, 2022",Louisiana,Bogalusa,"800 block of Warren St",1,2,N/A
2478475,"December 9, 2022",Missouri,"Saint Louis","300 block of North 9th St",0,1,N/A
2477878,"December 9, 2022",Michigan,Kalamazoo,"Elm St and W North St",0,1,N/A
2477858,"December 9, 2022",Illinois,Peoria,"3400 block of Fallen Oak Ln",0,1,N/A
2478369,"December 9, 2022",Pennsylvania,Lancaster,"Ruby St and Prangley Ave",1,1,N/A
2478135,"December 9, 2022",Florida,Jacksonville,"2400 block of Lane Ave S",0,1,N/A
2477247,"December 8, 2022",Missouri,"Saint Louis","1445 Webster Ave",0,1,N/A
2477881,"December 8, 2022",Ohio,"Cincinnati (Forest Park)","Fairborn Road",0,1,N/A
2477869,"December 8, 2022",Georgia,Griffin,"1700 block of Carrington Dr",0,2,N/A
2477193,"December 8, 2022","New York",Brooklyn,"White St and Moore St",0,1,N/A
2478836,"December 8, 2022",Ohio,Cleveland,"6200 block of Denison Ave",0,1,N/A
2478834,"December 8, 2022",Ohio,Cleveland,"W 28th St and Washington Ave",0,1,N/A
2476992,"December 8, 2022",Illinois,Chicago,"10100 block of S Luella Ave",0,1,N/A
2476681,"December 8, 2022","District of Columbia",Washington,"4500 Benning Rd NE",0,3,N/A
2476687,"December 8, 2022",Maryland,"District Heights","5200 Silver Hill Rd #2086",0,1,N/A
2477506,"December 8, 2022",Texas,"Corpus Christi","Brooks Dr",0,2,N/A
2477549,"December 8, 2022",California,Corona,"Circle City Dr and Pine St",0,1,N/A
2477446,"December 8, 2022",Arkansas,Texarkana,"1400 block of Rose St",0,1,N/A
2477444,"December 8, 2022",Illinois,Chicago,"7200 block of S Laflin Ave",0,1,N/A
2476655,"December 8, 2022",Illinois,Chicago,"1500 block of W 69th St",0,1,N/A
2477404,"December 8, 2022",Louisiana,"New Orleans","4242 Chef Menteur Hwy",0,4,N/A
2476339,"December 7, 2022",Alabama,Birmingham,"300 block of Martin Luther King Jr Dr",0,1,N/A
2477374,"December 7, 2022",Ohio,Columbus,"200 block of Martin Ave",0,1,N/A
2476357,"December 7, 2022",Illinois,Chicago,"2759 W Pope John Paul II Blvd",0,1,N/A
2475554,"December 6, 2022","New York",Bronx,"Daly Ave and E 180th St",0,4,N/A
2475622,"December 6, 2022",Missouri,"Saint Louis","N Taylor Ave and Page Blvd",0,1,N/A
2475546,"December 6, 2022",Georgia,Macon,"159 Steven Dr",3,1,N/A
2476364,"December 6, 2022",California,Azusa,"600 block of N Donna Beth Ave",1,1,N/A
2475970,"December 6, 2022",Pennsylvania,Easton,"631 S 25th St",0,1,N/A
2476028,"December 6, 2022",Florida,"Fort Lauderdale (Lauderhill)","5309 NW 18th Ct",0,1,N/A
2475829,"December 6, 2022",Illinois,Chicago,"24 S Kostner Ave",0,2,N/A
2475058,"December 5, 2022","New York",Rochester,"100 block of William Warfield Dr",0,3,N/A
2475728,"December 5, 2022",Wisconsin,Milwaukee,"1500 block of S 26th St",0,1,N/A
2474935,"December 5, 2022","District of Columbia",Washington,"4675 S Capitol St SW",0,1,N/A
2475500,"December 5, 2022",California,Vacaville,"Rocky Hill Rd and Holly Ln",0,1,N/A
2476215,"December 5, 2022",Pennsylvania,Philadelphia,"3500 block of K St",0,3,N/A
2476195,"December 5, 2022",Pennsylvania,Pittsburgh,"Frankstown Rd",0,1,N/A
2474513,"December 5, 2022",Illinois,Chicago,"4700 block of W Arthington St",0,3,N/A
2475227,"December 5, 2022",Illinois,Chicago,"6010 S Pulaski Rd",0,1,N/A
2474827,"December 5, 2022",Tennessee,Memphis,"817 Brownlee Rd",0,1,N/A
2474326,"December 4, 2022",Maryland,Baltimore,"700 block of N Caroline St",0,1,N/A
2474226,"December 4, 2022",Tennessee,Memphis,"Getwell Rd and Cochese Rd",0,2,N/A
2474731,"December 4, 2022",California,Oroville,"Majhi Ln",0,2,N/A
2474143,"December 4, 2022",Illinois,Zion,"1800 block of Horeb Ave",0,5,N/A
2474560,"December 4, 2022",Alabama,Montgomery,"3400 block of Lebron Rd",0,1,N/A
2475239,"December 4, 2022",Texas,Tyler,"11300 Hwy 271",0,1,N/A
2475201,"December 4, 2022",Ohio,Toledo,"1500 block of Parkside Blvd",0,1,N/A
2475174,"December 4, 2022",Louisiana,"Baton Rouge","Timberside Dr",0,2,N/A
2474346,"December 4, 2022",Louisiana,Shreveport,"5600 block of Hearne Ave",0,1,N/A
2474588,"December 3, 2022",Florida,Stuart,N/A,0,1,N/A
2474159,"December 3, 2022","North Carolina",Ahoskie,"900 block of E First St",0,2,N/A
